SN,BodyStyle,RatingClass,Cutaway,Finish,TopWood,TopTone,TopOvertones,BackSideWood,BackTone,BackOvertones,TopFrequency,BackFrequency,FundamentalFrequency,NeckWood
162,Olympus,Good,No,Gloss,Mahogany,8.7,7,Mahogany,9,7,180,222,101.955,Mahogany
163,Olympus,Good,No,Gloss,Mahogany,8.7,7,Mahogany,9,7,181,223,102.4625,Mahogany
164,Olympus,Good,No,Gloss,Mahogany,8.7,7,Mahogany,9,7,182,225,103.2225,Mahogany
165,Olympus,Good,No,Gloss,Mahogany,8.7,7,Mahogany,9,7,183,224,103.225,Mahogany
166,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Myrtlewood,9.4,9,175,215,90.95402299,Myrtlewood
167,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Myrtlewood,9.4,9,174,216,90.95172414,Myrtlewood
168,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Myrtlewood,9.4,9,176,214,90.95632184,Myrtlewood
169,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Myrtlewood,9.4,9,175,217,91.4183908,Myrtlewood
170,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Myrtlewood,9.4,9,173,218,91.1816092,Myrtlewood
171,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Mahogany,9.2,8.1,175,215,90.95402299,Mahogany
172,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Mahogany,9.2,8.1,174,216,90.95172414,Mahogany
173,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Mahogany,9.2,8.1,176,214,90.95632184,Mahogany
174,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Mahogany,9.2,8.1,175,217,91.4183908,Mahogany
175,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Mahogany,9.2,8.1,173,218,91.1816092,Mahogany
176,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Indian Rosewood,9.3,7.6,175,215,90.95402299,Mahogany
177,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Indian Rosewood,9.3,7.6,174,216,90.95172414,Mahogany
178,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Indian Rosewood,9.3,7.6,176,214,90.95632184,Mahogany
179,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Indian Rosewood,9.3,7.6,175,217,91.4183908,Mahogany
180,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Indian Rosewood,9.3,7.6,173,218,91.1816092,Mahogany
181,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Figured Maple,7,5.5,175,215,90.95402299,Mahogany
182,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Figured Maple,7,5.5,174,216,90.95172414,Mahogany
183,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Figured Maple,7,5.5,176,214,90.95632184,Mahogany
184,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Figured Maple,7,5.5,175,217,91.4183908,Mahogany
185,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Figured Maple,7,5.5,173,218,91.1816092,Mahogany
186,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Macassar Ebony,7.1,5.8,175,215,90.95402299,Mahogany
187,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Macassar Ebony,7.1,5.8,174,216,90.95172414,Mahogany
188,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Macassar Ebony,7.1,5.8,176,214,90.95632184,Mahogany
189,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Macassar Ebony,7.1,5.8,175,217,91.4183908,Mahogany
190,Rainier,Bad,No,Gloss,Sitka Spruce,8.2,8.5,Macassar Ebony,7.1,5.8,173,218,91.1816092,Mahogany
191,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Koa,9.2,8.3,175,215,90.95402299,Mahogany
192,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Koa,9.2,8.3,174,216,90.95172414,Mahogany
193,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Koa,9.2,8.3,176,214,90.95632184,Mahogany
194,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Koa,9.2,8.3,175,217,91.4183908,Mahogany
195,Rainier,Good,No,Gloss,Sitka Spruce,8.2,8.5,Figured Koa,9.2,8.3,173,218,91.1816092,Mahogany
196,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Myrtlewood,9.4,9,175,215,90.95402299,Myrtlewood
197,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Myrtlewood,9.4,9,174,216,90.95172414,Myrtlewood
198,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Myrtlewood,9.4,9,176,214,90.95632184,Myrtlewood
199,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Myrtlewood,9.4,9,175,217,91.4183908,Myrtlewood
200,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Myrtlewood,9.4,9,173,218,91.1816092,Myrtlewood
201,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Mahogany,9.2,8.1,175,215,90.95402299,Mahogany
202,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Mahogany,9.2,8.1,174,216,90.95172414,Mahogany
203,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Mahogany,9.2,8.1,176,214,90.95632184,Mahogany
204,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Mahogany,9.2,8.1,175,217,91.4183908,Mahogany
205,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Mahogany,9.2,8.1,173,218,91.1816092,Mahogany
206,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Indian Rosewood,9.3,7.6,175,215,90.95402299,Mahogany
207,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Indian Rosewood,9.3,7.6,174,216,90.95172414,Mahogany
208,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Indian Rosewood,9.3,7.6,176,214,90.95632184,Mahogany
209,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Indian Rosewood,9.3,7.6,175,217,91.4183908,Mahogany
210,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Indian Rosewood,9.3,7.6,173,218,91.1816092,Mahogany
211,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Maple,7,5.5,175,215,90.95402299,Mahogany
212,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Maple,7,5.5,174,216,90.95172414,Mahogany
213,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Maple,7,5.5,176,214,90.95632184,Mahogany
214,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Maple,7,5.5,175,217,91.4183908,Mahogany
215,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Maple,7,5.5,173,218,91.1816092,Mahogany
216,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Macassar Ebony,7.1,5.8,175,215,90.95402299,Mahogany
217,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Macassar Ebony,7.1,5.8,174,216,90.95172414,Mahogany
218,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Macassar Ebony,7.1,5.8,176,214,90.95632184,Mahogany
219,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Macassar Ebony,7.1,5.8,175,217,91.4183908,Mahogany
220,Rainier,Bad,No,Gloss,Adirondack Spruce,8.4,8.5,Macassar Ebony,7.1,5.8,173,218,91.1816092,Mahogany
221,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Koa,9.2,8.3,175,215,90.95402299,Mahogany
222,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Koa,9.2,8.3,174,216,90.95172414,Mahogany
223,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Koa,9.2,8.3,176,214,90.95632184,Mahogany
224,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Koa,9.2,8.3,175,217,91.4183908,Mahogany
225,Rainier,Good,No,Gloss,Adirondack Spruce,8.4,8.5,Figured Koa,9.2,8.3,173,218,91.1816092,Mahogany
226,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Myrtlewood,9.4,9,175,215,90.95402299,Myrtlewood
227,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Myrtlewood,9.4,9,174,216,90.95172414,Myrtlewood
228,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Myrtlewood,9.4,9,176,214,90.95632184,Myrtlewood
229,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Myrtlewood,9.4,9,175,217,91.4183908,Myrtlewood
230,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Myrtlewood,9.4,9,173,218,91.1816092,Myrtlewood
231,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Mahogany,9.2,8.1,175,215,90.95402299,Mahogany
232,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Mahogany,9.2,8.1,174,216,90.95172414,Mahogany
233,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Mahogany,9.2,8.1,176,214,90.95632184,Mahogany
234,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Mahogany,9.2,8.1,175,217,91.4183908,Mahogany
235,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Mahogany,9.2,8.1,173,218,91.1816092,Mahogany
236,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Indian Rosewood,9.3,7.6,175,215,90.95402299,Mahogany
237,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Indian Rosewood,9.3,7.6,174,216,90.95172414,Mahogany
238,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Indian Rosewood,9.3,7.6,176,214,90.95632184,Mahogany
239,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Indian Rosewood,9.3,7.6,175,217,91.4183908,Mahogany
240,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Indian Rosewood,9.3,7.6,173,218,91.1816092,Mahogany
241,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Figured Maple,7,5.5,175,215,90.95402299,Mahogany
242,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Figured Maple,7,5.5,174,216,90.95172414,Mahogany
243,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Figured Maple,7,5.5,176,214,90.95632184,Mahogany
244,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Figured Maple,7,5.5,175,217,91.4183908,Mahogany
245,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Figured Maple,7,5.5,173,218,91.1816092,Mahogany
246,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Macassar Ebony,7.1,5.8,175,215,90.95402299,Mahogany
247,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Macassar Ebony,7.1,5.8,174,216,90.95172414,Mahogany
248,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Macassar Ebony,7.1,5.8,176,214,90.95632184,Mahogany
249,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Macassar Ebony,7.1,5.8,175,217,91.4183908,Mahogany
250,Rainier,Bad,No,Gloss,Sunken Redwood,8.1,10,Macassar Ebony,7.1,5.8,173,218,91.1816092,Mahogany
251,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Koa,9.2,8.3,175,215,90.95402299,Mahogany
252,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Koa,9.2,8.3,174,216,90.95172414,Mahogany
253,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Koa,9.2,8.3,176,214,90.95632184,Mahogany
254,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Koa,9.2,8.3,175,217,91.4183908,Mahogany
255,Rainier,Good,No,Gloss,Sunken Redwood,8.1,10,Figured Koa,9.2,8.3,173,218,91.1816092,Mahogany
256,Rainier,Good,No,Gloss,Western Red Cedar,8.2,10,Figured Myrtlewood,9.4,9,175,215,90.95402299,Myrtlewood
